id,humansgenderdesc,humansage,humansaffected,humansdeaths
228735,0,,,
228574,,,,
228573,,,,
228572,,,,
230180,,,,
229240,,,,
229239,,,,
228748,,,,
228747,,,,
228706,0,,,
228705,,,,
228704,,,,
228703,,,,
228702,,,,
228701,,,,
228700,,,,
228699,,,,
228698,,,,
228697,,,,
228696,,,,
228695,,,,
228694,,,,
228693,,,,
228692,,,,
228691,,,,
228690,,,,
228689,,,,
228688,,,,
228687,,,,
228686,,,,
228685,,,,
228684,,,,
228683,,,,
228682,,,,
228681,,,,
228680,,,,
228679,,,,
228678,,,,
228677,,,,
228676,,,,
228675,,,,
228674,,,,
228673,,,,
228672,,,,
228671,,,,
228670,,,,
228669,,,,
228668,,,,
228667,,,,
228666,,,,
228665,,,,
228664,,,,
228663,,,,
228662,,,,
228661,,,,
228660,,,,
228659,,,,
228658,,,,
228657,,,,
228656,,,,
228655,,,,
228581,,,,
228580,,,,
228565,42,1,,
228558,,,,
228537,79,1,1,
230177,,,,
229238,,,,
229237,,,,
229236,,,,
229235,,,,
228603,30,1,,
228538,48,1,,
229292,,,,
229291,,,,
229234,,,,
229233,,,,
228734,,,,
228579,,,,
228518,41,1,,
229232,,,,
229231,,,,
229230,,,,
229229,,,,
228790,60,1,,
228746,,,,
228601,85,1,1,
228578,,,,
228577,,,,
228555,,,,
228529,68,1,,
228528,54,1,,
228527,41,1,,
228526,67,1,,
228525,55,1,1,
228516,22,1,,
228490,0,,,
229382,0,,,
229290,,,,
229289,,,,
229228,,,,
229227,,,,
229226,,,,
229225,,,,
229224,,,,
228610,33,1,,
228576,,,,
228575,,,,
228571,,,,
228506,,,,
230176,,,,
229223,,,,
229222,,,,
229221,,,,
228505,,,,
229220,,,,
229219,,,,
229218,,,,
229217,,,,
228570,,,,
228569,,,,
228517,68,1,1,
228513,,,,
228512,,,,
228511,,,,
228510,,,,
228504,,,,
228457,67,1,,
228456,79,1,1,
229216,,,,
228745,,,,
228742,,,,
228568,,,,
228509,,,,
228455,29,1,,
228450,59,1,,
228407,58,1,,
228353,45,1,,
228595,,,,
228567,,,,
228550,,,,
228449,70,1,,
228408,53,1,,
228365,54,1,,
228363,39,1,,
228361,35,1,,
230174,,,,
229215,,,,
229214,,,,
229213,,,,
229212,,,,
229211,,,,
229210,,,,
229209,,,,
228799,,,,
228554,,,,
228515,71,1,,
228477,,,,
228360,32,1,1,
229208,,,,
229207,,,,
228508,,,,
228440,,,,
228439,,,,
228409,0,,,
228359,27,1,,
228358,48,1,,
228357,34,1,,
228356,31,1,,
228355,28,1,,
228354,26,1,,
230175,,,,
229288,,,,
228753,39,1,,
228544,,,,
228507,,,,
228364,42,1,,
228315,48,1,,
228314,58,1,,
228313,25,1,,
228312,31,1,,
228175,30,1,,
229206,,,,
228798,,,,
228787,,,,
228600,57,1,,
228474,,,,
228473,,,,
228472,,,,
228471,,,,
228470,,,,
228469,,,,
228438,,,,
228384,,,,
228383,,,,
228382,,,,
228381,0,,,
228380,,,,
228362,57,1,,
228176,39,1,,
228174,45,1,,
228172,35,1,,
229205,,,,
229204,,,,
228797,,,,
228557,,,,
228468,,,,
228451,47,1,,
228436,,,,
228435,,,,
228386,,,,
228379,,,,
228378,,,,
228377,,,,
228169,48,1,,
228168,84,1,,
228166,45,1,,
229203,,,,
229202,,,,
229201,,,,
228796,,,,
228741,,,,
228725,0,,,
228724,,,,
228480,0,,,
228467,,,,
228466,,,,
228465,,,,
228464,,,,
228463,,,,
228462,,,,
228459,,,,
228437,,,,
228434,,,,
228433,,,,
228392,0,,,
228376,,,,
228346,0,,,
228131,0,1,,
228130,29,1,1,
228118,,,,
229200,,,,
228863,10,1,,
228432,,,,
228387,,,,
228337,,,,
228127,0,1,,
228126,46,1,1,
229199,,,,
229198,,,,
228795,,,,
228794,,,,
228793,,,,
228792,,,,
228502,,,,
228461,,,,
228460,,,,
228417,34,1,,
228388,,,,
228343,,,,
228336,,,,
228335,,,,
228173,42,1,,
228132,27,1,1,
228129,0,1,,
229197,,,,
229196,,,,
228566,,,,
228556,,,,
228429,,,,
228375,,,,
228374,,,,
228373,,,,
228334,,,,
228332,,,,
228147,0,,,
228123,0,1,,
228122,0,1,1,
228121,0,1,,
228120,0,1,,
228097,,,,
230309,,,,
229361,0,,,
229195,,,,
229194,,,,
229193,,,,
229192,,,,
228791,,,,
228594,,,,
228431,,,,
228430,,,,
228372,,,,
228167,45,1,1,
228128,0,1,,
228124,0,1,1,
229622,,,,
229621,,,,
229620,,,,
229619,,,,
229618,,,,
229617,,,,
229244,0,,,
228428,,,,
228416,41,1,,
228370,,,,
228369,,,,
228368,,,,
228367,,,,
228366,,,,
228316,0,,,
228112,,,,
229191,,,,
228593,,,,
228414,47,1,,
228413,27,1,,
228410,4,1,,
228371,,,,
228111,,,,
228110,,,,
228109,,,,
228108,,,,
228107,,,,
228051,0,,,
228050,0,,,
228049,0,,,
229190,,,,
228458,,,,
228415,40,1,,
228333,,,,
228135,37,1,,
228117,,,,
228115,,,,
228015,67,1,,
228145,45,1,,
228125,0,1,,
228119,0,1,,
228114,,,,
229189,,,,
229188,,,,
229187,,,,
228418,55,1,,
228411,55,1,,
228106,,,,
228105,,,,
228104,,,,
228103,,,,
228587,,,,
228426,,,,
228425,,,,
228102,,,,
228040,47,1,,
228031,,,,
227995,67,1,,
227981,60,1,,
229186,,,,
228503,,,,
228427,,,,
228342,,,,
228331,,,,
228143,49,1,1,
228101,,,,
228100,,,,
228099,,,,
227991,63,1,,
229185,,,,
228479,,,,
228422,,,,
228054,,,,
227996,71,1,,
227978,,,,
227925,29,1,,
229184,,,,
228501,,,,
228500,,,,
228499,,,,
228423,,,,
228421,,,,
228330,,,,
228146,67,1,,
228144,67,1,,
228134,61,1,,
228016,56,1,,
227977,,,,
227969,,,,
229183,,,,
228553,,,,
228552,,,,
228424,,,,
228116,,,,
228098,,,,
227980,,,,
227979,,,,
227968,,,,
227967,,,,
227966,,,,
227965,,,,
227964,,,,
227963,,,,
227962,,,,
227961,,,,
228498,,,,
228420,,,,
228419,,,,
227994,71,1,,
227989,0,,,
229271,0,,,
229270,0,,,
229269,0,,,
229268,0,,,
229182,,,,
228497,,,,
228496,,,,
228412,16,1,,
228329,,,,
227940,,,,
229381,,,,
228822,,,,
228495,,,,
228494,,,,
228493,,,,
228142,35,1,,
227960,,,,
230319,,,,
228030,0,,,
227990,59,1,,
227976,,,,
227975,,,,
228548,,,,
228492,,,,
228325,,,,
228324,,,,
228137,55,1,,
228042,0,,,
227936,,,,
227836,,,,
227792,57,1,,
228448,,,,
228164,25,1,,
227974,,,,
227973,,,,
227835,,,,
230321,,,,
229181,,,,
228514,,,,
227954,,,,
227926,53,1,,
227881,,,,
227880,,,,
227717,30,1,,
227716,33,1,,
230318,,,,
229180,,,,
227796,64,1,,
227793,38,1,,
228017,,,,
227992,51,1,,
227972,,,,
227907,,1,,
227795,43,1,,
230322,,,,
230317,,,,
229380,0,,,
229379,,,,
229179,,,,
228328,,,,
228136,44,1,,
228029,,,,
227993,36,1,,
227915,44,1,,
227912,,1,,
227911,,1,,
227908,,1,,
227899,,1,,
227794,63,1,1,
227774,,,,
228327,,,,
227935,,,,
227791,0,,,
227775,,,,
229178,,,,
229177,,,,
229176,,,,
228326,,,,
227971,,,,
227970,,,,
227834,,,,
227817,,,,
229472,,,,
229175,,,,
227957,,,,
227897,71,1,,
227816,,,,
227703,,,,
227672,0,,,
230316,,,,
229174,,,,
227934,,,,
227910,,1,,
227903,,1,1,
227902,,1,,
227898,,1,,
227772,,,,
227690,,,,
227686,55,1,1,
229471,,,,
228323,,,,
228322,,,,
227916,56,1,,
227914,,1,,
227913,,1,,
227900,,1,1,
227771,,,,
227702,,,,
228321,,,,
227896,,1,,
227815,,,,
227814,,,,
227701,,,,
227700,,,,
229173,,,,
229172,,,,
227959,,,,
227909,,1,,
227637,,1,,
227598,,,,
227399,,,,
227398,,,,
227397,,,,
230315,,,,
228446,,,,
228344,,,,
227958,,,,
227906,,1,,
227904,,1,,
227833,,,,
227832,,,,
227728,,,,
227699,,,,
227640,,1,,
227396,,,,
227395,,,,
227393,,,,
228165,69,1,,
227892,,1,1,
227886,,1,1,
227840,0,,,
227770,,,,
227727,,,,
227698,,,,
227697,,,,
227696,,,,
227695,,,,
227694,,,,
227674,0,,,
227639,,1,,
227593,71,1,1,
227588,,,,
227163,0,,,
229171,,,,
228447,,,,
227901,,1,,
227895,,1,1,
227894,,1,,
227891,,1,,
227813,,,,
227693,,,,
227592,40,1,,
227591,75,1,1,
227394,,,,
227392,,,,
227191,0,,,
227190,,,,
227189,,,,
227188,,,,
227187,,,,
227186,,,,
227185,,,,
227184,,,,
227183,,,,
227182,,,,
227181,,,,
227180,,,,
227179,,,,
227178,,,,
227177,,,,
227176,,,,
227175,,,,
227174,,,,
227173,,,,
227172,,,,
227171,,,,
227170,,,,
227169,,,,
227168,,,,
227167,,,,
227166,,,,
227165,,,,
227164,,,,
230314,,,,
229170,,,,
229169,,,,
227893,,1,,
227888,,1,,
227687,54,1,1,
227673,0,,,
227664,0,,,
227661,,,,
227636,35,1,,
229629,,,,
229628,,,,
229627,,,,
229626,,,,
228028,,,,
228027,,,,
228026,,,,
228025,,,,
228024,,,,
228023,,,,
228022,,,,
228021,,,,
228020,,,,
228019,,,,
228018,,,,
227890,,1,,
227889,,1,,
227603,0,,,
227905,,1,,
227884,,1,1,
227726,,,,
227692,,,,
227662,,,,
227634,,1,1,
227633,,1,,
227630,,1,,
227942,,,,
227691,0,,,
227660,,,,
227653,,,,
227590,0,,,
227583,,,,
